id,question,answer,sources,latency_ms,overall_score,relevance,correctness,clarity
11,What is RecursiveCharacterTextSplitter?,"RecursiveCharacterTextSplitter is a tool used for text chunking that attempts to preserve the logical structure of documents. Instead of splitting at fixed character positions, it tries multiple separators in order, such as paragraphs, blank lines, sentences, spaces, and individual characters.","05_chunking.md, 01_rag.md, 07_large_language_models.md, 06_prompt_engineering.md",1243.04,10.0,10.0,10.0,10.0
12,What is Prompt Engineering?,"Prompt Engineering is the process of designing and refining prompts to guide a Large Language Model toward producing accurate, useful, and structured responses. Rather than modifying the model itself, prompt engineering controls model behavior through carefully designed instructions and context.",06_prompt_engineering.md,1114.95,10.0,10.0,10.0,10.0
13,How does Prompt Engineering reduce hallucinations?,"Prompt engineering reduces hallucinations by instructing the model to answer only using the retrieved context. Additionally, a well-designed prompt can improve factual accuracy and produce consistent output, which helps mitigate the risk of generating incorrect or unsupported information.","07_large_language_models.md, 06_prompt_engineering.md",1265.83,9.7,10.0,9.0,10.0
14,What is a Large Language Model?,"Large Language Models (LLMs) are deep learning models built using the Transformer architecture that are trained on massive collections of text. They are designed to understand and generate human language and are capable of performing tasks such as question answering, summarization, translation, code generation, and conversational AI. Rather than memorizing facts, they learn statistical patterns and relationships between words, phrases, and concepts.","07_large_language_models.md, 01_rag.md",839.21,10.0,10.0,10.0,10.0
15,What is the difference between Fine-Tuning and RAG?,The information is not available in the knowledge base.,"01_rag.md, 05_chunking.md",1043.79,0.0,0.0,0.0,10.0
16,What is a context window?,The context window is the maximum number of tokens that a model can process at one time.,"07_large_language_models.md, 06_prompt_engineering.md, 01_rag.md",1142.6,10.0,10.0,10.0,10.0
17,Why is FastAPI used for AI applications?,"FastAPI is used for AI applications because it is lightweight, fast, easy to develop, and provides production-ready features. Its high performance, automatic request validation, automatic API documentation, dependency injection capabilities, and support for asynchronous programming make it an excellent choice for building robust AI-powered APIs, including Retrieval-Augmented Generation systems and LLM evaluation services.",08_fastapi.md,1240.49,10.0,10.0,10.0,10.0
18,What is Dependency Injection in FastAPI?,"Dependency Injection in FastAPI allows services to be provided automatically without manually creating objects. It offers benefits such as loose coupling, easier testing, improved maintainability, and better code organization. In this project, it is used to provide the RAG service and Judge service to API routes.",08_fastapi.md,840.1,10.0,10.0,10.0,10.0
19,What are the advantages of using Pydantic models?,"The advantages of using Pydantic models include:
* Automatic validation
* Type checking
* JSON serialization
* Better error messages","08_fastapi.md, 07_large_language_models.md",756.62,10.0,10.0,10.0,10.0
20,Summarize the complete RAG pipeline.,"The RAG pipeline consists of the following steps:
1. The user submits a question.
2. The question is converted into a vector embedding.
3. The embedding is compared against vectors stored in a vector database.
4. The most relevant document chunks are retrieved to be used as context for the large language model to generate a response.","01_rag.md, 05_chunking.md, 06_prompt_engineering.md",1230.68,9.7,10.0,9.0,10.0
